NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
276,"Rumah Megah SIAP HUNI TERMURAH di Tebet Timur, Jakarta Selatan",12999000000,400,429,9,5,5
277,Rumah Siap Huni Di Asem Baris Kebon Baru Tebet Jakarta Selatan,2300000000,160,135,4,3,1
278,Tebet rumah dijual jalan 2 mobil lebar lokasi strategis,7100000000,200,256,5,3,3
279,Rumah Siap Huni 2lantai Akses 2mbl Lokasi Tebet Barat,4000000000,150,100,3,3,1
280,Rumah Siap Huni Akses jalan 2 mobil di asem baris tebet,4000000000,144,126,4,2,3
281,Dijual rumah tua perlu renovasi akses jalan 2mobil lokasi dekat lapangsn bola pspt,3750000000,150,135,3,2,1
282,Rumah Bagus Siap Huni Di Tebet Timur Dalam Jak Sel,4000000000,150,140,4,2,2
283,Rumah Mewah 3 Lantai Jalan Swadaya I Tebet ( FA),6000000000,450,260,7,4,1
284,"Rumah Baru 2 Lt Dekat Taman dan Pasar Tebet Barat PALING MURAH di Tebet Barat, Jakarta",2550000000,150,90,4,4,2
285,Dijual Rumah Second Strategis Tanah Luas di Tebet,23000000000,350,565,5,3,4
286,Rumah Clasic Asem Baris Tebet Jakarta Selatan Hitung Tanah Saja Setrategis Dekat Mt Haryono,9200000000,650,695,9,6,1
287,Rumah lama hitung Tanah di Tebet,7500000000,180,253,3,2,1
288,Rumah Tebet Hitung Tanah,14250000000,350,393,5,4,1
289,Brand New House Di Lokasi Iconic Tebet,4000000000,216,135,5,4,2
290,Tebet Rumah Minimalis,5850000000,220,138,4,3,2
291,Rumah Minimalis Bagus Tebet Timur,2700000000,160,90,3,3,1
292,Dijual Rumah Tebet Hitung Tanah Lokasi Strategis Jalan 1 Mobil,3250000000,200,157,7,3,1
293,Rumah tebet jalan lebar nyaman keamanan 24 jam dekat kemana mana,9800000000,350,247,4,3,2
294,Dijual Rumah Asri Komplek Tebet Mas Lokasi Premium Nyaman Jalan 2 Mobil,12000000000,350,237,4,3,2
295,Rumah dijual di Tebet Raya,18500000000,300,520,5,4,2
296,"Rumah Mewah Di Tebet Turun Harga Menjadi Rp 14,5 M, Ada Swimmung Pool",14500000000,500,307,10,7,2
297,Rumah Di Jual Di Tebet,8200000000,300,260,4,4,3
298,"Rumah Di Jual, Brand New, Tebet Barat ",2700000000,120,92,3,3,2
299,"Dijual Rumah minimalis di Bukit Duri, Tebet",2500000000,121,100,3,2,2
300,"Rumah Hoek Tebet Jakarta Mewah, Lokasi Strategis Selangkah ke Masjid",9900000000,350,250,5,3,2
301,"Rumah Tebet Jakarta Selatan, depan Lapangan, Dijual Cepat Harga BU",4200000000,285,160,5,6,1
302,Rumah Di Tengah Pusat Bisnis Dekat Jalan Gatot Subroto Jaksel,10000000000,353,535,10,10,7
